
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         20 K
Registry                       108 Services                   0    105,620 K
smss.exe                       420 Services                   0        308 K
csrss.exe                      640 Services                   0      3,964 K
wininit.exe                    728 Services                   0      3,964 K
csrss.exe                      780 Console                    1      5,040 K
services.exe                   804 Services                   0      7,996 K
lsass.exe                      812 Services                   0     20,388 K
svchost.exe                    936 Services                   0     31,496 K
fontdrvhost.exe                960 Services                   0      1,472 K
WUDFHost.exe                  1000 Services                   0      9,484 K
svchost.exe                    464 Services                   0     14,904 K
svchost.exe                    836 Services                   0      6,592 K
winlogon.exe                  1096 Console                    1     10,228 K
fontdrvhost.exe               1152 Console                    1      5,504 K
dwm.exe                       1220 Console                    1     76,228 K
svchost.exe                   1248 Services                   0      5,768 K
svchost.exe                   1284 Services                   0     10,264 K
svchost.exe                   1300 Services                   0     10,172 K
svchost.exe                   1416 Services                   0      7,804 K
svchost.exe                   1428 Services                   0      9,732 K
IntelCpHDCPSvc.exe            1572 Services                   0      4,608 K
svchost.exe                   1604 Services                   0      6,116 K
svchost.exe                   1648 Services                   0      5,076 K
svchost.exe                   1728 Services                   0     13,348 K
svchost.exe                   1768 Services                   0     12,072 K
svchost.exe                   1780 Services                   0      6,348 K
IntelCpHeciSvc.exe            1832 Services                   0      4,416 K
svchost.exe                   1868 Services                   0      5,584 K
svchost.exe                   1900 Services                   0     10,504 K
svchost.exe                   1916 Services                   0      5,512 K
svchost.exe                   1036 Services                   0      4,104 K
svchost.exe                   1052 Services                   0      5,576 K
igfxCUIService.exe            1760 Services                   0      5,760 K
svchost.exe                   2084 Services                   0      9,448 K
svchost.exe                   2240 Services                   0      6,200 K
svchost.exe                   2348 Services                   0     15,600 K
svchost.exe                   2392 Services                   0      5,016 K
svchost.exe                   2400 Services                   0     14,068 K
ibmpmsvc.exe                  2416 Services                   0      3,428 K
svchost.exe                   2556 Services                   0      4,736 K
svchost.exe                   2564 Services                   0      3,956 K
svchost.exe                   2572 Services                   0     12,284 K
svchost.exe                   2580 Services                   0     10,432 K
svchost.exe                   2696 Services                   0     14,724 K
svchost.exe                   2736 Services                   0      5,964 K
svchost.exe                   2752 Services                   0      5,572 K
Memory Compression            2776 Services                   0    366,056 K
dasHost.exe                   2796 Services                   0      7,044 K
svchost.exe                   2888 Services                   0      8,112 K
svchost.exe                   3036 Services                   0      6,092 K
svchost.exe                   2496 Services                   0      7,364 K
svchost.exe                   3200 Services                   0     13,172 K
svchost.exe                   3236 Services                   0      5,500 K
sihost.exe                    3304 Console                    1     26,644 K
svchost.exe                   3324 Console                    1     24,992 K
PresentationFontCache.exe     3416 Services                   0     16,984 K
RtkAudioService64.exe         3460 Services                   0      4,028 K
svchost.exe                   3548 Services                   0     14,472 K
svchost.exe                   3608 Services                   0     12,404 K
svchost.exe                   3748 Console                    1     37,072 K
svchost.exe                   3860 Services                   0      5,008 K
svchost.exe                   3868 Services                   0      8,100 K
PowerMgr.exe                  4008 Console                    1      3,264 K
svchost.exe                   4064 Services                   0     14,680 K
taskhostw.exe                 3456 Console                    1     14,448 K
svchost.exe                   4184 Services                   0      9,664 K
svchost.exe                   4260 Services                   0     14,168 K
igfxEM.exe                    4288 Console                    1      9,704 K
svchost.exe                   4340 Services                   0      7,504 K
svchost.exe                   4388 Services                   0     15,728 K
svchost.exe                   4452 Services                   0      9,832 K
spoolsv.exe                   4612 Services                   0      9,724 K
svchost.exe                   4732 Services                   0     11,732 K
explorer.exe                  4804 Console                    1    150,168 K
svchost.exe                   5044 Services                   0      6,000 K
armsvc.exe                    5108 Services                   0      4,548 K
AGSService.exe                4544 Services                   0      5,932 K
OfficeClickToRun.exe          4548 Services                   0     33,568 K
svchost.exe                   5004 Services                   0     12,584 K
svchost.exe                   1756 Services                   0     30,700 K
svchost.exe                   5088 Services                   0     32,948 K
wlanext.exe                   5160 Services                   0      4,996 K
ibtsiva.exe                   5196 Services                   0      2,812 K
OneApp.IGCC.WinService.ex     5236 Services                   0     36,980 K
